name,level,division,conference,state,city,athletics_url
North Dakota State University of Agriculture and Applied Sciences,college,NCAA_D1_FCS,Summit League,ND,Fargo,
North Greenville University,college,NCAA_D2,Conference Carolinas,SC,Tigerville,
North Park University,college,NCAA_D3,College Conference of Illinois and Wisconsin,IL,Chicago,
Northeastern State University,college,NCAA_D2,Mid-America Intercollegiate Athletics Association,OK,Tahlequah,
Northeastern University,college,NCAA_D1,Coastal Athletic Association,MA,Boston,
Northern Arizona University,college,NCAA_D1_FCS,Big Sky Conference,AZ,Flagstaff,
Northern Illinois University,college,NCAA_D1_FBS,Mid-American Conference,IL,DeKalb,
Northern Kentucky University,college,NCAA_D1,Horizon League,KY,Highland Heights,
Northern Michigan University,college,NCAA_D2,Great Lakes Intercollegiate Athletic Conference,MI,Marquette,
Northern New Mexico College,college,NAIA,California Pacific Conference,NM,Española,
Northern State University,college,NCAA_D2,Northern Sun Intercollegiate Conference,SD,Aberdeen,
Northwest Missouri State University,college,NCAA_D2,Mid-America Intercollegiate Athletics Association,MO,Maryville,
Northwest Nazarene University,college,NCAA_D2,Great Northwest Athletic Conference,ID,Nampa,
Northwest University,college,NAIA,Cascade Collegiate Conference,WA,Kirkland,
Northwestern College,college,NAIA,Great Plains Athletic Conference,IA,Orange City,
Northwestern Oklahoma State University,college,NCAA_D2,Great American Conference,OK,Alva,
Northwestern State University of Louisiana,college,NCAA_D1_FCS,Southland Conference,LA,Natchitoches,
Northwestern University,college,NCAA_D1_FBS,Big Ten Conference,IL,Evanston,
Northwood University,college,NCAA_D2,Great Midwest Athletic Conference,MI,Midland,
Norwich University,college,NCAA_D3,Great Northeast Athletic Conference,VT,Northfield,
Notre Dame of Maryland University,college,NCAA_D3,United East Conference,MD,Baltimore,
Nova Southeastern University,college,NCAA_D2,Sunshine State Conference,FL,Davie,
Oakland City University,college,NAIA,River States Conference,IN,Oakland City,
Oakland University,college,NCAA_D1,Horizon League,MI,Rochester,
Oakwood University,college,NAIA,HBCU Athletic Conference,AL,Huntsville,
Oberlin College,college,NCAA_D3,North Coast Athletic Conference,OH,Oberlin,
Occidental College,college,NCAA_D3,Southern California Intercollegiate Athletic Conference,CA,Los Angeles,
Oglethorpe University,college,NCAA_D3,Southern Athletic Association,GA,Atlanta,
Ohio Dominican University,college,NCAA_D2,Great Midwest Athletic Conference,OH,Columbus,
Ohio Northern University,college,NCAA_D3,Ohio Athletic Conference,OH,Ada,
Ohio Wesleyan University,college,NCAA_D3,North Coast Athletic Conference,OH,Delaware,
Oklahoma Baptist University,college,NCAA_D2,Great American Conference,OK,Shawnee,
Oklahoma Christian University,college,NCAA_D2,Lone Star Conference,OK,Oklahoma City,
Oklahoma City University,college,NAIA,Sooner Athletic Conference,OK,Oklahoma City,
Oklahoma Panhandle State University,college,NAIA,Sooner Athletic Conference,OK,Goodwell,
Oklahoma State University–Stillwater,college,NCAA_D1_FBS,Big 12 Conference,OK,Stillwater,
Oklahoma Wesleyan University,college,NAIA,Kansas Collegiate Athletic Conference,OK,Bartlesville,
Old Dominion University,college,NCAA_D1_FBS,Sun Belt Conference,VA,Norfolk,
Olivet Nazarene University,college,NAIA,Chicagoland Collegiate Athletic Conference,IL,Bourbonnais,
Oral Roberts University,college,NCAA_D1,Summit League,OK,Tulsa,
Oregon Institute of Technology(Oregon Tech),college,NAIA,Cascade Collegiate Conference,OR,Klamath Falls,
Oregon State University,college,NCAA_D1_FBS,Pac-12 Conference,OR,Corvallis,
Ottawa University,college,NAIA,Kansas Collegiate Athletic Conference,KS,Ottawa,
Ottawa University Arizona,college,NAIA,Great Southwest Athletic Conference,AZ,Surprise,
Otterbein University,college,NCAA_D3,Ohio Athletic Conference,OH,Westerville,
Ouachita Baptist University,college,NCAA_D2,Great American Conference,AR,Arkadelphia,
Our Lady of the Lake University,college,NAIA,Red River Athletic Conference,TX,San Antonio,
Pace University,college,NCAA_D2,Northeast-10 Conference,NY,Pleasantville,
Pacific Lutheran University,college,NCAA_D3,Northwest Conference,WA,Tacoma,
Pacific Union College,college,NAIA,California Pacific Conference,CA,Angwin,
Pacific University,college,NCAA_D3,Northwest Conference,OR,Forest Grove,
Palm Beach Atlantic University,college,NCAA_D2,Sunshine State Conference,FL,West Palm Beach,
Park University,college,NAIA,Heart of America Athletic Conference,MO,Parkville,
Park University Gilbert,college,NAIA,Great Southwest Athletic Conference,AZ,Gilbert,
Paul Quinn College,college,NAIA,HBCU Athletic Conference,TX,Dallas,
Pennsylvania College of Technology,college,NCAA_D3,United East Conference,PA,Williamsport,
"Pennsylvania State University, Abington",college,NCAA_D3,United East Conference,PA,Abington,
"Pennsylvania State University, Altoona",college,NCAA_D3,Allegheny Mountain Collegiate Conference,PA,Altoona,
"Pennsylvania State University, Behrend",college,NCAA_D3,Allegheny Mountain Collegiate Conference,PA,Erie,
"Pennsylvania State University, Berks College",college,NCAA_D3,United East Conference,PA,Reading,
"Pennsylvania State University, Brandywine",college,NCAA_D3,United East Conference,PA,Media,
"Pennsylvania State University, Harrisburg",college,NCAA_D3,United East Conference,PA,Harrisburg,
PennWest California,college,NCAA_D2,Pennsylvania State Athletic Conference,PA,California,
PennWest Clarion,college,NCAA_D2,Pennsylvania State Athletic Conference,PA,Clarion,
PennWest Edinboro,college,NCAA_D2,Pennsylvania State Athletic Conference,PA,Edinboro,
Pepperdine University,college,NCAA_D1,West Coast Conference,CA,Malibu,
Peru State College,college,NAIA,Heart of America Athletic Conference,NE,Peru,
Pfeiffer University,college,NCAA_D3,USA South Athletic Conference,NC,Misenheimer,
Philander Smith University,college,NAIA,HBCU Athletic Conference,AR,Little Rock,
Piedmont University,college,NCAA_D3,Collegiate Conference of the South,GA,Demorest,
Pittsburg State University,college,NCAA_D2,Mid-America Intercollegiate Athletics Association,KS,Pittsburg,
Plymouth State University,college,NCAA_D3,Little East Conference,NH,Plymouth,
Point Loma Nazarene University,college,NCAA_D2,Pacific West Conference,CA,San Diego,
Point Park University,college,NCAA_D2,Mountain East Conference,PA,Pittsburgh,
